City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
146,Pathalgaon,IN,2021-08-05 20:59:55,22.5667,83.4667,72.5,97,76,2.89,broken clouds
147,Cotonou,BJ,2021-08-05 20:59:55,6.3654,2.4183,77.09,84,100,8.93,overcast clouds
148,Mwinilunga,ZM,2021-08-05 20:59:56,-11.7358,24.4293,58.73,34,0,2.39,clear sky
149,Amuntai,ID,2021-08-05 20:59:56,-2.4177,115.2494,73.56,99,100,1.7,overcast clouds
150,Springbok,ZA,2021-08-05 20:59:56,-29.6643,17.8865,48.72,45,0,1.81,clear sky
151,San Ignacio,BZ,2021-08-05 20:59:57,17.1561,-89.0714,93.34,59,40,6.91,thunderstorm
152,Westport,US,2021-08-05 20:59:24,41.1415,-73.3579,83.05,82,90,4.0,overcast clouds
153,San Quintin,MX,2021-08-05 20:59:57,30.4833,-115.95,74.35,70,5,11.43,clear sky
154,Norman Wells,CA,2021-08-05 20:59:58,65.282,-126.8329,62.64,67,75,12.66,smoke
155,Cross Lanes,US,2021-08-05 20:59:58,38.4204,-81.7907,88.9,58,87,5.01,overcast clouds
156,Stephenville,US,2021-08-05 20:59:58,32.2207,-98.2023,93.29,38,75,6.91,broken clouds
157,Port Elizabeth,ZA,2021-08-05 20:59:47,-33.918,25.5701,61.09,94,90,18.41,light rain
158,Sambava,MG,2021-08-05 20:59:59,-14.2667,50.1667,69.82,84,99,14.99,light rain
159,Makakilo City,US,2021-08-05 20:59:59,21.3469,-158.0858,81.28,64,12,19.95,few clouds
160,Narsaq,GL,2021-08-05 21:00:00,60.9167,-46.05,47.89,92,100,3.91,light rain
161,Jimenez,MX,2021-08-05 21:00:00,28.3333,-105.4,87.58,32,55,11.3,broken clouds
162,Severo-Kurilsk,RU,2021-08-05 21:00:00,50.6789,156.125,53.96,73,20,19.73,few clouds
163,Vila Franca Do Campo,PT,2021-08-05 21:00:01,37.7167,-25.4333,73.81,84,0,6.98,clear sky
164,Ngunguru,NZ,2021-08-05 21:00:01,-35.6167,174.5,52.16,74,100,13.44,overcast clouds
165,Longyearbyen,SJ,2021-08-05 21:00:02,78.2186,15.6401,42.64,87,75,12.66,broken clouds
166,Chuy,UY,2021-08-05 21:00:03,-33.6971,-53.4616,59.05,85,94,9.15,overcast clouds
