City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
201,Sao Joao Da Barra,BR,2021-08-04 15:21:18,-21.6403,-41.0511,75.29,60,32,14.23
202,Leshukonskoye,RU,2021-08-04 15:21:19,64.8989,45.7622,65.07,52,49,10.78
203,Nanyang,CN,2021-08-04 15:21:19,32.9947,112.5328,79.74,72,11,4.61
204,Esperance,AU,2021-08-04 15:21:20,-33.8667,121.9,46.24,80,0,3.36
205,Qaqortoq,GL,2021-08-04 15:21:20,60.7167,-46.0333,50.5,94,100,5.26
206,El Progreso,HN,2021-08-04 15:20:34,15.4,-87.8,83.68,74,75,2.3
207,Touros,BR,2021-08-04 15:21:21,-5.1989,-35.4608,86.9,58,74,18.57
208,Dikson,RU,2021-08-04 15:19:19,73.5069,80.5464,47.53,86,46,3.85
209,Kerchevskiy,RU,2021-08-04 15:21:22,59.946,56.2884,71.74,82,51,5.86
210,Agirish,RU,2021-08-04 15:21:22,61.9247,63.0231,73.0,63,41,5.79
211,Betioky,MG,2021-08-04 15:21:23,-23.7167,44.3833,77.25,31,9,5.79
212,Carson City,US,2021-08-04 15:21:23,39.1638,-119.7674,84.87,35,1,0.0
213,Amahai,ID,2021-08-04 15:21:05,-3.3333,128.9167,75.9,88,98,3.13
214,Cucaita,CO,2021-08-04 15:21:24,5.5437,-73.4543,52.5,82,100,4.92
215,Shiringushi,RU,2021-08-04 15:21:24,53.8485,42.7676,72.97,45,53,8.19
216,Clyde River,CA,2021-08-04 15:21:24,70.4692,-68.5914,35.83,100,90,4.61
217,Porto Novo,BJ,2021-08-04 15:21:25,6.4965,2.6036,84.02,68,87,13.33
218,San Rafael Del Sur,NI,2021-08-04 15:21:25,11.8485,-86.4384,83.37,63,99,7.72
219,Mount Isa,AU,2021-08-04 15:21:25,-20.7333,139.5,55.17,33,4,11.5
220,Harper,LR,2021-08-04 15:21:26,4.375,-7.7169,79.3,78,95,11.01
221,Yaan,NG,2021-08-04 15:21:26,7.3833,8.5667,83.8,67,89,8.03
222,Manavalakurichi,IN,2021-08-04 15:21:27,8.1333,77.3,80.69,77,76,17.85
223,Vostok,RU,2021-08-04 15:21:27,46.4856,135.8833,63.79,95,48,4.9
224,Egvekinot,RU,2021-08-04 15:21:27,66.3167,-179.1667,48.65,93,100,8.3
225,Lingdong,CN,2021-08-04 15:21:27,46.5669,131.1453,75.24,71,99,7.4
226,Edson,CA,2021-08-04 15:19:42,53.5835,-116.4356,59.14,94,20,3.44
227,Saskylakh,RU,2021-08-04 15:21:28,71.9167,114.0833,55.06,55,90,8.61
228,Meylan,FR,2021-08-04 15:21:28,45.2199,5.7901,67.3,98,100,2.73
229,Richards Bay,ZA,2021-08-04 15:21:29,-28.783,32.0377,70.2,68,0,12.71
230,Bairiki,KI,2021-08-04 15:21:29,1.3292,172.9752,77.0,88,40,2.3
231,Tura,IN,2021-08-04 15:21:29,25.5198,90.2201,76.44,94,100,2.64
232,Gorontalo,ID,2021-08-04 15:21:30,0.5412,123.0595,76.86,90,96,5.17
233,Poum,NC,2021-08-04 15:21:30,-20.2333,164.0167,70.86,71,99,7.83
234,Carberry,CA,2021-08-04 15:21:30,49.8689,-99.3602,73.65,29,100,3.89
235,Kastamonu,TR,2021-08-04 15:21:31,41.5,33.6667,84.22,44,1,12.37
236,Funadhoo,MV,2021-08-04 15:21:31,6.15,73.2667,83.07,76,93,10.13
237,Tateyama,JP,2021-08-04 15:21:32,34.9833,139.8667,80.98,84,1,2.55
238,Tiarei,PF,2021-08-04 15:21:33,-17.5333,-149.3333,77.02,80,76,11.56
239,Bengkulu,ID,2021-08-04 15:21:33,-3.8004,102.2655,76.68,90,92,6.15
240,Mangaratiba,BR,2021-08-04 15:21:34,-22.9597,-44.0406,76.06,63,4,6.49
241,Two Rivers,US,2021-08-04 15:21:34,44.1539,-87.5693,79.29,65,1,4.61
242,Roald,NO,2021-08-04 15:21:35,62.5833,6.1333,66.11,63,40,9.22
243,Shahr-E Babak,IR,2021-08-04 15:21:35,30.1165,55.1186,82.96,22,67,16.51
244,Kahului,US,2021-08-04 15:17:39,20.8947,-156.47,76.84,79,1,11.5
245,Juneau,US,2021-08-04 15:21:35,58.3019,-134.4197,59.85,96,90,5.01
246,Darhan,MN,2021-08-04 15:21:36,49.4867,105.9228,62.28,69,95,2.86
247,Taiping,MY,2021-08-04 15:21:36,4.85,100.7333,80.8,94,96,2.44
248,Polunochnoye,RU,2021-08-04 15:21:37,60.8697,60.4153,68.18,95,97,2.86
249,Megion,RU,2021-08-04 15:21:37,61.0296,76.1136,59.02,74,84,5.97
250,Doctor Juan Leon Mallorquin,PY,2021-08-04 15:21:37,-25.4,-55.2667,67.73,37,57,3.8
251,Kaitangata,NZ,2021-08-04 15:21:38,-46.2817,169.8464,39.02,90,100,8.68
252,Kudahuvadhoo,MV,2021-08-04 15:21:16,2.6708,72.8944,82.45,71,100,2.3
253,Chapais,CA,2021-08-04 15:21:38,49.7834,-74.8492,62.38,40,10,4.41
254,Port Lincoln,AU,2021-08-04 15:21:39,-34.7333,135.8667,55.22,74,99,9.89
255,Caravelas,BR,2021-08-04 15:21:39,-17.7125,-39.2481,73.98,72,98,10.87
256,Chuy,UY,2021-08-04 15:21:39,-33.6971,-53.4616,57.88,66,40,3.8
257,Nome,US,2021-08-04 15:21:40,64.5011,-165.4064,64.47,60,1,5.75
258,Toora-Khem,RU,2021-08-04 15:21:40,52.4675,96.11,57.24,89,98,1.54
259,Oksfjord,NO,2021-08-04 15:21:40,70.2396,22.3479,54.0,75,90,10.22
260,Omsukchan,RU,2021-08-04 15:21:41,62.5333,155.8,32.16,99,100,2.53
261,Yulara,AU,2021-08-04 15:21:41,-25.2406,130.9889,48.04,46,0,8.05
262,Torbay,CA,2021-08-04 15:17:18,47.6666,-52.7314,75.88,57,75,27.63
263,Hongjiang,CN,2021-08-04 15:21:42,27.11,109.9956,78.69,77,0,2.71
264,Le Port,RE,2021-08-04 15:21:42,-20.9373,55.2919,69.8,76,53,4.52
265,Komsomolskiy,UZ,2021-08-04 15:21:43,40.4272,71.7189,86.72,25,73,9.22
266,Tecoanapa,MX,2021-08-04 15:21:43,16.5167,-98.75,79.56,82,100,3.62
267,Vestmannaeyjar,IS,2021-08-04 15:21:43,63.4427,-20.2734,58.19,88,90,9.22
268,Flinders,AU,2021-08-04 15:21:43,-34.5833,150.8552,54.68,66,4,4.0
269,Port Elizabeth,ZA,2021-08-04 15:21:19,-33.918,25.5701,62.1,94,40,12.66
270,Mian Channun,PK,2021-08-04 15:21:44,30.44,72.3543,88.86,60,81,7.07
271,Pallisa,UG,2021-08-04 15:21:44,1.145,33.7094,78.78,49,84,6.24
272,De-Kastri,RU,2021-08-04 15:21:45,51.4667,140.7833,56.93,99,100,4.14
273,Mackenzie,CA,2021-08-04 15:21:46,55.2999,-123.1698,61.02,77,1,4.61
274,Walvis Bay,NA,2021-08-04 15:21:46,-22.9575,14.5053,68.95,60,23,10.36
275,Kavaratti,IN,2021-08-04 15:21:46,10.5669,72.642,82.36,82,100,13.6
276,Vaitape,PF,2021-08-04 15:19:49,-16.5167,-151.75,79.0,75,56,11.61
277,Vila Franca Do Campo,PT,2021-08-04 15:21:21,37.7167,-25.4333,79.21,62,0,4.0
278,San Quintin,MX,2021-08-04 15:21:47,30.4833,-115.95,70.95,78,8,11.54
279,Alushta,UA,2021-08-04 15:21:47,44.6667,34.4167,81.23,68,54,1.25
280,Ilulissat,GL,2021-08-04 15:21:48,69.2167,-51.1,50.02,71,1,4.61
281,Salym,RU,2021-08-04 15:21:48,60.0625,71.4789,64.8,74,100,2.93
